text,category
Noise disturbance in Block D hostel at night,hostel
Furniture arrangement problem in Lecture Hall 2,other
WiFi is not working in Block C,wifi
Poor lighting and unsafe path near Block A,safety
Router issue near Block A with no internet access,wifi
Fire extinguisher missing in Hostel 1 block,safety
Main switch issue reported at Block D,electrical
Poor lighting and unsafe path near Administrative Block,safety
Laundry service delay at Reading Room,hostel
Pest problem found in Administrative Block room,hostel
No network connectivity in Reading Room hostel room,wifi
Furniture arrangement problem in Lecture Hall 1,other
Fan stopped working in Girls Hostel room,electrical
Slow internet speed in Administrative Block computer lab,wifi
Poor lighting and unsafe path near Library,safety
Emergency exit blocked near Administrative Block,safety
General maintenance request for Parking Area,other
Toilet is not flushing in Reading Room,plumbing
Main switch issue reported at Business Block,electrical
No water supply in Parking Area hostel block,plumbing
Emergency exit blocked near Sports Complex,safety
Power outage in Hostel 2,electrical
Slow internet speed in Student Center computer lab,wifi
WiFi signal is weak near Hostel 1,wifi
Short circuit smell near Medical Center,electrical
Security guard missing at Auditorium gate,safety
Mess food quality problem at Computer Lab,hostel
Laundry service delay at Girls Hostel,hostel
Socket is damaged near Block D,electrical
Fan stopped working in Parking Area room,electrical
Unsafe wiring exposed near Boys Hostel,safety
Tap is broken in Boys Hostel corridor,plumbing
Canal or drainage complaint around Library,other
Fan stopped working in Lecture Hall 1 room,electrical
General maintenance request for Parking Area,other
Broken staircase railing near Science Block,safety
Power outage in Main Building,electrical
Campus signage missing near Auditorium,other
Short circuit smell near Laboratory,electrical
CCTV not working at Student Center,safety
Security concern reported near Auditorium,safety
Notice board is outdated at Medical Center,other
Laundry service delay at Engineering Block,hostel
Security concern reported near Sports Complex,safety
Furniture arrangement problem in Lecture Hall 2,other
Unable to connect to campus internet in Reading Room,wifi
General maintenance request for Parking Area,other
Light is not working in Library,electrical
Bathroom drain is blocked in Reading Room,plumbing
Laundry service delay at Reading Room,hostel
Broken staircase railing near Main Building,safety
Unsafe wiring exposed near Canteen,safety
Broken staircase railing near Business Block,safety
Unsafe wiring exposed near Hostel 2,safety
Library book request issue from Lecture Hall 2,other
Broken staircase railing near Administrative Block,safety
Hostel gate closes too early at Block C,hostel
Short circuit smell near Auditorium,electrical
Tap is broken in Laboratory corridor,plumbing
Short circuit smell near Lecture Hall 2,electrical
Unsafe wiring exposed near Girls Hostel,safety
Tap is broken in Parking Area corridor,plumbing
Parking issue near Student Center,other
Laundry service delay at Medical Center,hostel
Unsafe wiring exposed near Block C,safety
Laundry service delay at Hostel 1,hostel
Socket is damaged near Lecture Hall 2,electrical
Hostel gate closes too early at Science Block,hostel
Security guard missing at Computer Lab gate,safety
General service request from Block B,other
Water leakage in Hostel 2 washroom,plumbing
Internet connection is unstable in Block B,wifi
Security concern reported near Engineering Block,safety
Main switch issue reported at Block D,electrical
General service request from Parking Area,other
Room maintenance issue reported in Auditorium,hostel
Furniture damaged in Auditorium hostel room,hostel
No water supply in Hostel 1 hostel block,plumbing
Broken staircase railing near Girls Hostel,safety
Canal or drainage complaint around Laboratory,other
Fan stopped working in Canteen room,electrical
Slow internet speed in Engineering Block computer lab,wifi
General service request from Block A,other
Toilet is not flushing in Computer Lab,plumbing
Electrical spark seen near Canteen,electrical
Emergency exit blocked near Computer Lab,safety
Unable to connect to campus internet in Main Building,wifi
Power outage in Library,electrical
Water leakage in Block C washroom,plumbing
Furniture arrangement problem in Medical Center,other
No network connectivity in Hostel 1 hostel room,wifi
Main switch issue reported at Block C,electrical
General maintenance request for Business Block,other
Short circuit smell near Block D,electrical
Emergency exit blocked near Parking Area,safety
Toilet is not flushing in Reading Room,plumbing
Power outage in Parking Area,electrical
Power outage in Laboratory,electrical
Water leakage in Student Center washroom,plumbing
Pipe burst near Student Center building,plumbing
Water leakage in Workshop washroom,plumbing
Slow internet speed in Hostel 1 computer lab,wifi
Unable to connect to campus internet in Block D,wifi
Tap is broken in Workshop corridor,plumbing
Electrical spark seen near Parking Area,electrical
Pipe burst near Workshop building,plumbing
Canal or drainage complaint around Student Center,other
CCTV not working at Science Block,safety
Router issue near Hostel 1 with no internet access,wifi
Internet connection is unstable in Boys Hostel,wifi
Security guard missing at Workshop gate,safety
Security guard missing at Workshop gate,safety
Security concern reported near Sports Complex,safety
Tap is broken in Engineering Block corridor,plumbing
AC is not cooling in Hostel 2,electrical
Canal or drainage complaint around Student Center,other
Library book request issue from Lecture Hall 1,other
Parking issue near Reading Room,other
Broken staircase railing near Boys Hostel,safety
Bathroom drain is blocked in Student Center,plumbing
Parking issue near Block C,other
Laundry service delay at Block C,hostel
Tap is broken in Hostel 2 corridor,plumbing
Furniture damaged in Boys Hostel hostel room,hostel
Library book request issue from Block D,other
Library book request issue from Reading Room,other
Parking issue near Medical Center,other
Noise disturbance in Workshop hostel at night,hostel
Parking issue near Laboratory,other
Tap is broken in Business Block corridor,plumbing
Pipe burst near Science Block building,plumbing
Parking issue near Student Center,other
Washroom flooding in Business Block area,plumbing
Water is leaking from the ceiling in Block A,plumbing
Hostel room cleanliness issue in Lecture Hall 2,hostel
Security guard missing at Reading Room gate,safety
Fan stopped working in Block C room,electrical
Router issue near Main Building with no internet access,wifi
General service request from Sports Complex,other
Internet connection is unstable in Science Block,wifi
Fan stopped working in Business Block room,electrical
Unable to connect to campus internet in Hostel 1,wifi
Unable to connect to campus internet in Medical Center,wifi
CCTV not working at Girls Hostel,safety
Toilet is not flushing in Laboratory,plumbing
Noise disturbance in Engineering Block hostel at night,hostel
WiFi signal is weak near Parking Area,wifi
Mess food quality problem at Parking Area,hostel
Laundry service delay at Student Center,hostel
Socket is damaged near Girls Hostel,electrical
Noise disturbance in Hostel 2 hostel at night,hostel
CCTV not working at Computer Lab,safety
WiFi is not working in Hostel 1,wifi
No network connectivity in Library hostel room,wifi
Security concern reported near Laboratory,safety
Router issue near Business Block with no internet access,wifi
Furniture damaged in Computer Lab hostel room,hostel
Light is not working in Auditorium,electrical
The campus WiFi keeps disconnecting in Auditorium,wifi
Internet connection is unstable in Medical Center,wifi
Power outage in Auditorium,electrical
Main switch issue reported at Computer Lab,electrical
Emergency exit blocked near Administrative Block,safety
Light is not working in Workshop,electrical
Tap is broken in Main Building corridor,plumbing
CCTV not working at Block B,safety
Internet connection is unstable in Lecture Hall 2,wifi
Poor lighting and unsafe path near Main Building,safety
No water supply in Block D hostel block,plumbing
General maintenance request for Lecture Hall 2,other
Poor lighting and unsafe path near Library,safety
Short circuit smell near Boys Hostel,electrical
Emergency exit blocked near Lecture Hall 1,safety
Water is leaking from the ceiling in Engineering Block,plumbing
Hostel room cleanliness issue in Main Building,hostel
Internet connection is unstable in Main Building,wifi
The campus WiFi keeps disconnecting in Block B,wifi
Router issue near Girls Hostel with no internet access,wifi
Router issue near Library with no internet access,wifi
Washroom flooding in Medical Center area,plumbing
Broken staircase railing near Workshop,safety
Poor lighting and unsafe path near Auditorium,safety
Internet connection is unstable in Workshop,wifi
Internet connection is unstable in Workshop,wifi
Main switch issue reported at Canteen,electrical
Broken staircase railing near Reading Room,safety
Unable to connect to campus internet in Canteen,wifi
Canal or drainage complaint around Engineering Block,other
WiFi is not working in Lecture Hall 2,wifi
Mess food quality problem at Boys Hostel,hostel
Library book request issue from Block C,other
AC is not cooling in Workshop,electrical
Notice board is outdated at Science Block,other
Pest problem found in Main Building room,hostel
WiFi is not working in Science Block,wifi
Unsafe wiring exposed near Main Building,safety
Library book request issue from Girls Hostel,other
Unable to connect to campus internet in Lecture Hall 2,wifi
Poor lighting and unsafe path near Business Block,safety
Toilet is not flushing in Hostel 1,plumbing
Hostel room cleanliness issue in Sports Complex,hostel
Fire extinguisher missing in Student Center block,safety
Notice board is outdated at Main Building,other
Slow internet speed in Main Building computer lab,wifi
Toilet is not flushing in Girls Hostel,plumbing
Noise disturbance in Block C hostel at night,hostel
No network connectivity in Block D hostel room,wifi
Water leakage in Parking Area washroom,plumbing
Pipe burst near Girls Hostel building,plumbing
Toilet is not flushing in Hostel 1,plumbing
Toilet is not flushing in Business Block,plumbing
Main switch issue reported at Auditorium,electrical
Security guard missing at Laboratory gate,safety
Power outage in Medical Center,electrical
Hostel gate closes too early at Medical Center,hostel
Socket is damaged near Block C,electrical
Unable to connect to campus internet in Reading Room,wifi
Short circuit smell near Business Block,electrical
Fire extinguisher missing in Girls Hostel block,safety
Light is not working in Hostel 1,electrical
Unsafe wiring exposed near Lecture Hall 2,safety
Pest problem found in Parking Area room,hostel
Unable to connect to campus internet in Computer Lab,wifi
Bathroom drain is blocked in Student Center,plumbing
Fire extinguisher missing in Engineering Block block,safety
Internet connection is unstable in Block B,wifi
Room maintenance issue reported in Engineering Block,hostel
Pipe burst near Laboratory building,plumbing
The campus WiFi keeps disconnecting in Main Building,wifi
Notice board is outdated at Reading Room,other
No water supply in Block C hostel block,plumbing
WiFi signal is weak near Lecture Hall 1,wifi
Tap is broken in Hostel 2 corridor,plumbing
No water supply in Engineering Block hostel block,plumbing
Furniture damaged in Lecture Hall 1 hostel room,hostel
Main switch issue reported at Block D,electrical
Furniture damaged in Sports Complex hostel room,hostel
Canal or drainage complaint around Block B,other
Socket is damaged near Sports Complex,electrical
Mess food quality problem at Hostel 1,hostel
Unsafe wiring exposed near Laboratory,safety
Power outage in Lecture Hall 1,electrical
Internet connection is unstable in Block C,wifi
Slow internet speed in Workshop computer lab,wifi
Room maintenance issue reported in Sports Complex,hostel
Parking issue near Parking Area,other
Internet connection is unstable in Block A,wifi
No water supply in Auditorium hostel block,plumbing
Tap is broken in Parking Area corridor,plumbing
Furniture arrangement problem in Science Block,other
Slow internet speed in Library computer lab,wifi
Parking issue near Boys Hostel,other
Poor lighting and unsafe path near Laboratory,safety
Emergency exit blocked near Lecture Hall 2,safety
Router issue near Sports Complex with no internet access,wifi
No water supply in Engineering Block hostel block,plumbing
Security concern reported near Administrative Block,safety
WiFi is not working in Lecture Hall 2,wifi
Parking issue near Library,other
Short circuit smell near Boys Hostel,electrical
Water leakage in Business Block washroom,plumbing
Campus signage missing near Student Center,other
Pest problem found in Engineering Block room,hostel
Short circuit smell near Parking Area,electrical
Noise disturbance in Library hostel at night,hostel
Socket is damaged near Hostel 2,electrical
Router issue near Block C with no internet access,wifi
Emergency exit blocked near Administrative Block,safety
Main switch issue reported at Block A,electrical
Tap is broken in Engineering Block corridor,plumbing
Light is not working in Student Center,electrical
No water supply in Canteen hostel block,plumbing
Unable to connect to campus internet in Main Building,wifi
Fire extinguisher missing in Block C block,safety
No network connectivity in Parking Area hostel room,wifi
Notice board is outdated at Lecture Hall 1,other
Noise disturbance in Laboratory hostel at night,hostel
Bathroom drain is blocked in Canteen,plumbing
Water leakage in Hostel 1 washroom,plumbing
Pest problem found in Hostel 1 room,hostel
AC is not cooling in Auditorium,electrical
Noise disturbance in Reading Room hostel at night,hostel
Canal or drainage complaint around Girls Hostel,other
Socket is damaged near Business Block,electrical
Notice board is outdated at Boys Hostel,other
Pipe burst near Auditorium building,plumbing
Parking issue near Business Block,other
Main switch issue reported at Main Building,electrical
No water supply in Computer Lab hostel block,plumbing
General service request from Administrative Block,other
Toilet is not flushing in Block B,plumbing
Noise disturbance in Hostel 2 hostel at night,hostel
Canal or drainage complaint around Administrative Block,other
Unsafe wiring exposed near Sports Complex,safety
Fire extinguisher missing in Main Building block,safety
Library book request issue from Student Center,other
Water leakage in Sports Complex washroom,plumbing
Poor lighting and unsafe path near Block D,safety
Short circuit smell near Hostel 1,electrical
Pest problem found in Block C room,hostel
No water supply in Business Block hostel block,plumbing
Mess food quality problem at Lecture Hall 1,hostel
WiFi is not working in Student Center,wifi
Socket is damaged near Student Center,electrical
Hostel gate closes too early at Library,hostel
Library book request issue from Library,other
Washroom flooding in Auditorium area,plumbing
Bathroom drain is blocked in Student Center,plumbing
Pipe burst near Lecture Hall 2 building,plumbing
No water supply in Workshop hostel block,plumbing
Light is not working in Science Block,electrical
Slow internet speed in Computer Lab computer lab,wifi
WiFi signal is weak near Lecture Hall 2,wifi
Pest problem found in Sports Complex room,hostel
Security concern reported near Auditorium,safety
Short circuit smell near Lecture Hall 2,electrical
Toilet is not flushing in Lecture Hall 1,plumbing
No network connectivity in Hostel 2 hostel room,wifi
Router issue near Main Building with no internet access,wifi
Room maintenance issue reported in Block B,hostel
Unable to connect to campus internet in Main Building,wifi
Fire extinguisher missing in Block C block,safety
Slow internet speed in Auditorium computer lab,wifi
Fire extinguisher missing in Sports Complex block,safety
Socket is damaged near Computer Lab,electrical
Broken staircase railing near Main Building,safety
Fan stopped working in Hostel 2 room,electrical
Hostel room cleanliness issue in Block B,hostel
The campus WiFi keeps disconnecting in Administrative Block,wifi
Pest problem found in Lecture Hall 1 room,hostel
Emergency exit blocked near Workshop,safety
Campus signage missing near Student Center,other
Short circuit smell near Auditorium,electrical
WiFi signal is weak near Library,wifi
Internet connection is unstable in Engineering Block,wifi
Toilet is not flushing in Lecture Hall 2,plumbing
Unable to connect to campus internet in Workshop,wifi
AC is not cooling in Block C,electrical
Pest problem found in Computer Lab room,hostel
Notice board is outdated at Hostel 2,other
Bathroom drain is blocked in Engineering Block,plumbing
WiFi signal is weak near Canteen,wifi
Water is leaking from the ceiling in Hostel 2,plumbing
Poor lighting and unsafe path near Sports Complex,safety
Washroom flooding in Library area,plumbing
Unsafe wiring exposed near Student Center,safety
WiFi signal is weak near Sports Complex,wifi
Laundry service delay at Hostel 1,hostel
Pest problem found in Lecture Hall 1 room,hostel
Main switch issue reported at Laboratory,electrical
Unable to connect to campus internet in Girls Hostel,wifi
Water is leaking from the ceiling in Boys Hostel,plumbing
General service request from Hostel 1,other
Router issue near Administrative Block with no internet access,wifi
Socket is damaged near Science Block,electrical
Light is not working in Medical Center,electrical
Water leakage in Student Center washroom,plumbing
Emergency exit blocked near Hostel 1,safety
General service request from Girls Hostel,other
Noise disturbance in Science Block hostel at night,hostel
WiFi is not working in Engineering Block,wifi
Emergency exit blocked near Boys Hostel,safety
Unable to connect to campus internet in Science Block,wifi
Poor lighting and unsafe path near Computer Lab,safety
Slow internet speed in Block C computer lab,wifi
Slow internet speed in Computer Lab computer lab,wifi
Slow internet speed in Block D computer lab,wifi
Main switch issue reported at Computer Lab,electrical
No water supply in Administrative Block hostel block,plumbing
Hostel room cleanliness issue in Business Block,hostel
Canal or drainage complaint around Reading Room,other
Room maintenance issue reported in Workshop,hostel
Power outage in Block B,electrical
Internet connection is unstable in Engineering Block,wifi
Socket is damaged near Science Block,electrical
Laundry service delay at Canteen,hostel
Main switch issue reported at Business Block,electrical
Furniture damaged in Parking Area hostel room,hostel
Washroom flooding in Block B area,plumbing
No water supply in Block C hostel block,plumbing
Bathroom drain is blocked in Sports Complex,plumbing
Pest problem found in Lecture Hall 2 room,hostel
AC is not cooling in Computer Lab,electrical
Internet connection is unstable in Hostel 1,wifi
Short circuit smell near Block A,electrical
Poor lighting and unsafe path near Administrative Block,safety
General service request from Lecture Hall 2,other
Slow internet speed in Business Block computer lab,wifi
Pipe burst near Sports Complex building,plumbing
Emergency exit blocked near Computer Lab,safety
Socket is damaged near Block C,electrical
AC is not cooling in Lecture Hall 2,electrical
Mess food quality problem at Science Block,hostel
No network connectivity in Block D hostel room,wifi
Water is leaking from the ceiling in Medical Center,plumbing
WiFi is not working in Hostel 1,wifi
WiFi is not working in Medical Center,wifi
Canal or drainage complaint around Medical Center,other
Power outage in Hostel 1,electrical
Campus signage missing near Reading Room,other
Fan stopped working in Parking Area room,electrical
Toilet is not flushing in Parking Area,plumbing
Washroom flooding in Computer Lab area,plumbing
Library book request issue from Block A,other
Hostel room cleanliness issue in Reading Room,hostel
Short circuit smell near Student Center,electrical
General service request from Sports Complex,other
General maintenance request for Science Block,other
Security concern reported near Business Block,safety
Broken staircase railing near Girls Hostel,safety
Washroom flooding in Block C area,plumbing
Electrical spark seen near Lecture Hall 2,electrical
Canal or drainage complaint around Canteen,other
Fan stopped working in Block C room,electrical
Main switch issue reported at Hostel 2,electrical
No network connectivity in Block C hostel room,wifi
WiFi signal is weak near Laboratory,wifi
No network connectivity in Lecture Hall 2 hostel room,wifi
Main switch issue reported at Girls Hostel,electrical
Tap is broken in Hostel 1 corridor,plumbing
Short circuit smell near Lecture Hall 1,electrical
Emergency exit blocked near Workshop,safety
Main switch issue reported at Parking Area,electrical
Mess food quality problem at Laboratory,hostel
No network connectivity in Block C hostel room,wifi
Fan stopped working in Girls Hostel room,electrical
No water supply in Computer Lab hostel block,plumbing
Mess food quality problem at Hostel 1,hostel
Power outage in Laboratory,electrical
Washroom flooding in Auditorium area,plumbing
Router issue near Library with no internet access,wifi
No network connectivity in Reading Room hostel room,wifi
Toilet is not flushing in Science Block,plumbing
Internet connection is unstable in Lecture Hall 1,wifi
Unsafe wiring exposed near Reading Room,safety
No network connectivity in Lecture Hall 1 hostel room,wifi
Tap is broken in Boys Hostel corridor,plumbing
Notice board is outdated at Block B,other
Hostel gate closes too early at Auditorium,hostel
Mess food quality problem at Computer Lab,hostel
Fire extinguisher missing in Block D block,safety
WiFi is not working in Hostel 1,wifi
Room maintenance issue reported in Workshop,hostel
Furniture damaged in Business Block hostel room,hostel
Water leakage in Student Center washroom,plumbing
Socket is damaged near Hostel 2,electrical
No water supply in Block A hostel block,plumbing
The campus WiFi keeps disconnecting in Medical Center,wifi
General service request from Block B,other
Unsafe wiring exposed near Student Center,safety
Water leakage in Sports Complex washroom,plumbing
Fire extinguisher missing in Engineering Block block,safety
Pest problem found in Workshop room,hostel
Fire extinguisher missing in Business Block block,safety
Short circuit smell near Science Block,electrical
Router issue near Canteen with no internet access,wifi
Mess food quality problem at Auditorium,hostel
Furniture damaged in Block A hostel room,hostel
Security concern reported near Administrative Block,safety
Hostel room cleanliness issue in Science Block,hostel
Parking issue near Lecture Hall 1,other
Laundry service delay at Block D,hostel
Security guard missing at Hostel 2 gate,safety
AC is not cooling in Science Block,electrical
Toilet is not flushing in Engineering Block,plumbing
Water leakage in Sports Complex washroom,plumbing
Laundry service delay at Block A,hostel
Library book request issue from Block D,other
No network connectivity in Auditorium hostel room,wifi
Notice board is outdated at Block C,other
Bathroom drain is blocked in Administrative Block,plumbing
Socket is damaged near Laboratory,electrical
General maintenance request for Computer Lab,other
AC is not cooling in Computer Lab,electrical
Broken staircase railing near Laboratory,safety
Mess food quality problem at Computer Lab,hostel
Router issue near Student Center with no internet access,wifi
Slow internet speed in Reading Room computer lab,wifi
Socket is damaged near Student Center,electrical
Parking issue near Parking Area,other
Hostel room cleanliness issue in Girls Hostel,hostel
Socket is damaged near Auditorium,electrical
Main switch issue reported at Block D,electrical
Fire extinguisher missing in Hostel 1 block,safety
Security concern reported near Block B,safety
Notice board is outdated at Laboratory,other
Poor lighting and unsafe path near Girls Hostel,safety
Library book request issue from Block C,other
General service request from Canteen,other
Router issue near Lecture Hall 1 with no internet access,wifi
Slow internet speed in Medical Center computer lab,wifi
No water supply in Sports Complex hostel block,plumbing
General maintenance request for Block C,other
Hostel room cleanliness issue in Hostel 2,hostel
Poor lighting and unsafe path near Computer Lab,safety
Room maintenance issue reported in Hostel 1,hostel
WiFi is not working in Science Block,wifi
Fire extinguisher missing in Block C block,safety
General maintenance request for Reading Room,other
Notice board is outdated at Main Building,other
Hostel gate closes too early at Administrative Block,hostel
Furniture damaged in Auditorium hostel room,hostel
Hostel room cleanliness issue in Lecture Hall 1,hostel
Slow internet speed in Lecture Hall 2 computer lab,wifi
Short circuit smell near Lecture Hall 2,electrical
Unable to connect to campus internet in Medical Center,wifi
Mess food quality problem at Block B,hostel
Fan stopped working in Block C room,electrical
Parking issue near Canteen,other
Parking issue near Engineering Block,other
Unsafe wiring exposed near Reading Room,safety
Parking issue near Lecture Hall 2,other
Electrical spark seen near Medical Center,electrical
Water leakage in Girls Hostel washroom,plumbing
Unsafe wiring exposed near Library,safety
Emergency exit blocked near Administrative Block,safety
Security guard missing at Block C gate,safety
Water leakage in Sports Complex washroom,plumbing
Security concern reported near Hostel 1,safety
Canal or drainage complaint around Medical Center,other
General service request from Sports Complex,other
Laundry service delay at Lecture Hall 1,hostel
Broken staircase railing near Auditorium,safety
Laundry service delay at Block A,hostel
Internet connection is unstable in Library,wifi
Hostel gate closes too early at Boys Hostel,hostel
Furniture damaged in Engineering Block hostel room,hostel
Unsafe wiring exposed near Student Center,safety
Room maintenance issue reported in Hostel 1,hostel
Washroom flooding in Library area,plumbing
Hostel gate closes too early at Hostel 2,hostel
Hostel room cleanliness issue in Block B,hostel
Pipe burst near Parking Area building,plumbing
Electrical spark seen near Lecture Hall 2,electrical
Router issue near Hostel 1 with no internet access,wifi
Unsafe wiring exposed near Student Center,safety
Main switch issue reported at Medical Center,electrical
Fire extinguisher missing in Girls Hostel block,safety
Security guard missing at Boys Hostel gate,safety
Fire extinguisher missing in Reading Room block,safety
Security concern reported near Block C,safety
Main switch issue reported at Lecture Hall 1,electrical
Hostel gate closes too early at Lecture Hall 1,hostel
Power outage in Engineering Block,electrical
Electrical spark seen near Sports Complex,electrical
No water supply in Hostel 2 hostel block,plumbing
Water leakage in Sports Complex washroom,plumbing
Hostel gate closes too early at Lecture Hall 1,hostel
General maintenance request for Main Building,other
General service request from Block B,other
Water is leaking from the ceiling in Reading Room,plumbing
Noise disturbance in Reading Room hostel at night,hostel
Room maintenance issue reported in Block D,hostel
Unsafe wiring exposed near Hostel 2,safety
Pipe burst near Business Block building,plumbing
Washroom flooding in Sports Complex area,plumbing
WiFi signal is weak near Boys Hostel,wifi
Furniture arrangement problem in Administrative Block,other
Water is leaking from the ceiling in Library,plumbing
Pipe burst near Workshop building,plumbing
Furniture arrangement problem in Girls Hostel,other
Unsafe wiring exposed near Block B,safety
CCTV not working at Lecture Hall 1,safety
Hostel gate closes too early at Computer Lab,hostel
Tap is broken in Medical Center corridor,plumbing
Emergency exit blocked near Main Building,safety
Internet connection is unstable in Lecture Hall 2,wifi
Canal or drainage complaint around Business Block,other
Mess food quality problem at Parking Area,hostel
Security guard missing at Auditorium gate,safety
Tap is broken in Hostel 1 corridor,plumbing
No network connectivity in Canteen hostel room,wifi
Toilet is not flushing in Medical Center,plumbing
Noise disturbance in Block C hostel at night,hostel
The campus WiFi keeps disconnecting in Hostel 2,wifi
AC is not cooling in Parking Area,electrical
Campus signage missing near Lecture Hall 1,other
Canal or drainage complaint around Science Block,other
Campus signage missing near Girls Hostel,other
Water leakage in Library washroom,plumbing
No water supply in Engineering Block hostel block,plumbing
General maintenance request for Canteen,other
Main switch issue reported at Hostel 2,electrical
Canal or drainage complaint around Library,other
Hostel room cleanliness issue in Girls Hostel,hostel
Parking issue near Hostel 1,other
Mess food quality problem at Auditorium,hostel
AC is not cooling in Auditorium,electrical
General maintenance request for Computer Lab,other
Library book request issue from Girls Hostel,other
Emergency exit blocked near Sports Complex,safety
Unable to connect to campus internet in Administrative Block,wifi
Mess food quality problem at Parking Area,hostel
Tap is broken in Sports Complex corridor,plumbing
Furniture damaged in Boys Hostel hostel room,hostel
Short circuit smell near Medical Center,electrical
Canal or drainage complaint around Workshop,other
Water is leaking from the ceiling in Student Center,plumbing
AC is not cooling in Business Block,electrical
General service request from Laboratory,other
Router issue near Workshop with no internet access,wifi
Poor lighting and unsafe path near Block D,safety
Light is not working in Student Center,electrical
Mess food quality problem at Block C,hostel
Light is not working in Student Center,electrical
General service request from Main Building,other
Furniture damaged in Auditorium hostel room,hostel
Broken staircase railing near Student Center,safety
WiFi is not working in Reading Room,wifi
Parking issue near Block A,other
Hostel gate closes too early at Hostel 2,hostel
Security concern reported near Block B,safety
Noise disturbance in Main Building hostel at night,hostel
Emergency exit blocked near Student Center,safety
Laundry service delay at Lecture Hall 2,hostel
Hostel room cleanliness issue in Lecture Hall 1,hostel
WiFi is not working in Block D,wifi
Washroom flooding in Lecture Hall 2 area,plumbing
Bathroom drain is blocked in Student Center,plumbing
General service request from Engineering Block,other
Security concern reported near Auditorium,safety
Power outage in Lecture Hall 2,electrical
WiFi is not working in Lecture Hall 1,wifi
Security concern reported near Auditorium,safety
Bathroom drain is blocked in Engineering Block,plumbing
General service request from Block C,other
Furniture arrangement problem in Student Center,other
Furniture arrangement problem in Administrative Block,other
Tap is broken in Hostel 2 corridor,plumbing
Furniture arrangement problem in Hostel 1,other
Fire extinguisher missing in Computer Lab block,safety
Canal or drainage complaint around Lecture Hall 2,other
AC is not cooling in Hostel 1,electrical
Broken staircase railing near Business Block,safety
Slow internet speed in Science Block computer lab,wifi
Pipe burst near Student Center building,plumbing
Unsafe wiring exposed near Workshop,safety
Water is leaking from the ceiling in Engineering Block,plumbing
Short circuit smell near Business Block,electrical
Electrical spark seen near Library,electrical
Router issue near Engineering Block with no internet access,wifi
Bathroom drain is blocked in Workshop,plumbing
No network connectivity in Workshop hostel room,wifi
Notice board is outdated at Workshop,other
Hostel room cleanliness issue in Girls Hostel,hostel
Fire extinguisher missing in Main Building block,safety
WiFi signal is weak near Hostel 2,wifi
Room maintenance issue reported in Business Block,hostel
Router issue near Lecture Hall 1 with no internet access,wifi
Unable to connect to campus internet in Administrative Block,wifi
No water supply in Hostel 2 hostel block,plumbing
Toilet is not flushing in Canteen,plumbing
Slow internet speed in Main Building computer lab,wifi
CCTV not working at Student Center,safety
Light is not working in Library,electrical
Mess food quality problem at Boys Hostel,hostel
Canal or drainage complaint around Administrative Block,other
Canal or drainage complaint around Student Center,other
Water leakage in Block D washroom,plumbing
General maintenance request for Lecture Hall 2,other
Router issue near Engineering Block with no internet access,wifi
Parking issue near Boys Hostel,other
AC is not cooling in Student Center,electrical
Security concern reported near Canteen,safety
Tap is broken in Block A corridor,plumbing
Electrical spark seen near Laboratory,electrical
Hostel gate closes too early at Main Building,hostel
Main switch issue reported at Girls Hostel,electrical
Noise disturbance in Block C hostel at night,hostel
Laundry service delay at Engineering Block,hostel
Short circuit smell near Boys Hostel,electrical
